dataset,solver,nfe,fid,fid_num
imagenet64,dpmpp,4,53.6284,50000
imagenet64,unipc,4,52.9341,50000
imagenet64,deis,4,21.8256,50000
imagenet64,deis,5,13.4882,50000
imagenet64,unipc,5,22.3284,50000
imagenet64,dpmpp,5,23.4601,50000
imagenet64,dpmpp,6,13.2524,50000
imagenet64,unipc,6,12.4807,50000
imagenet64,deis,6,9.5093,50000
imagenet64,unipc,7,8.1330,50000
imagenet64,deis,7,7.2591,50000
imagenet64,dpmpp,7,8.6469,50000
imagenet64,unipc,8,6.4492,50000
imagenet64,deis,8,5.9765,50000
imagenet64,dpmpp,8,6.6462,50000
imagenet64,unipc,9,5.5631,50000
imagenet64,dpmpp,9,5.5303,50000
imagenet64,deis,9,5.1434,50000
ffhq,deis,4,28.6771,50000
ffhq,deis,5,17.9921,50000
ffhq,dpmpp,4,45.9471,50000
ffhq,unipc,4,44.7990,50000
ffhq,deis,6,12.8906,50000
ffhq,dpmpp,5,22.5111,50000
imagenet64,unipc,10,4.8847,50000
imagenet64,deis,10,4.5700,50000
imagenet64,dpmpp,10,4.8681,50000
ffhq,unipc,5,21.4009,50000
ffhq,deis,7,9.9675,50000
ffhq,dpmpp,6,13.7426,50000
ffhq,unipc,6,12.8482,50000
ffhq,deis,8,8.1238,50000
ffhq,dpmpp,7,8.4481,50000
ffhq,unipc,7,7.4376,50000
ffhq,dpmpp,8,6.0484,50000
ffhq,deis,9,6.8720,50000
ffhq,unipc,8,5.5073,50000
ffhq,dpmpp,9,4.7724,50000
ffhq,deis,10,5.9942,50000
ffhq,unipc,9,4.4779,50000
ffhq,dpmpp,10,4.1220,50000
ffhq,unipc,10,3.8496,50000
cifar10,deis,4,26.2536,50000
cifar10,dpmpp,4,46.5331,50000
cifar10,deis,5,15.1825,50000
cifar10,unipc,4,45.2126,50000
cifar10,dpmpp,5,24.9786,50000
cifar10,deis,6,10.1284,50000
cifar10,ipndm,6,7.0476,50000
cifar10,unipc,5,23.9652,50000
cifar10,dpmpp,6,11.9842,50000
cifar10,deis,7,7.5712,50000
cifar10,unipc,6,11.1290,50000
cifar10,dpmpp,7,6.7406,50000
cifar10,deis,8,6.0791,50000
cifar10,unipc,7,5.8257,50000
cifar10,dpmpp,8,4.5419,50000
cifar10,deis,9,5.1414,50000
cifar10,unipc,8,3.9826,50000
cifar10,dpmpp,9,3.4180,50000
cifar10,deis,10,4.4836,50000
cifar10,unipc,9,3.2039,50000
cifar10,dpmpp,10,2.9976,50000
cifar10,unipc,10,2.8891,50000
