dataset,solver,nfe,fid,fid_num,variant,snapshot
imagenet64,dlms,4,7.8468,50000,ema_3,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe4/snapshot-020000.pt
ffhq,dlms,9,5.4310,50000,ema_3,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe9/snapshot-020000.pt
ffhq,dlms,10,5.2204,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe10/snapshot-020000.pt
imagenet64,dlms,5,5.7834,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe5/snapshot-020000.pt
imagenet64,dlms,6,4.9999,50000,raw,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe6/snapshot-020000.pt
imagenet64,dlms,7,4.4813,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe7/snapshot-020000.pt
imagenet64,dlms,8,4.9673,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe8/snapshot-020000.pt
ffhq,dlms,7,5.4387,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe7/snapshot-020000.pt
ffhq,dlms,5,7.0520,50000,raw,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe5/snapshot-020000.pt
ffhq,dlms,6,6.7103,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe6/snapshot-020000.pt
ffhq,dlms,8,5.6044,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe8/snapshot-020000.pt
ffhq,dlms,4,8.3911,50000,raw,/arf/scratch/agulbeden/solver_distillation/results/runs/ffhq-nfe4/snapshot-020000.pt
imagenet64,dlms,9,4.5029,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe9/snapshot-020000.pt
imagenet64,dlms,10,4.1378,50000,ema_1,/arf/scratch/agulbeden/solver_distillation/results/runs/imagenet64-nfe10/snapshot-020000.pt
cifar10,dlms_wo_afs,4,5.8917,50000,ema_3,/arf/scratch/agulbeden/solver_distillation/results/runs/cifar10-nfe4-wo_afs/snapshot-020032.pt
